Code,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% Votes,Round,Last Updated Time,Last Updated Date
S112,KASARAGOD - 2,SHANAVAS A A,Independent,878,15,893,0.53,16/16,11:12 PM,04/05/2026
S112,KASARAGOD - 2,SHANAVAS PADHOOR,Independent,36419,259,36678,21.68,16/16,11:12 PM,04/05/2026
S112,KASARAGOD - 2,NOTA,None of the Above,702,12,714,0.42,16/16,11:12 PM,04/05/2026
S113,UDMA - 3,C H KUNHAMBU,Communist Party of India (Marxist),72860,1203,74063,40.96,18/18,11:12 PM,04/05/2026
S113,UDMA - 3,NEELAKANDAN,Indian National Congress,78084,826,78910,43.64,18/18,11:12 PM,04/05/2026
S113,UDMA - 3,MANULAL M,Bharatiya Janata Party,26550,349,26899,14.88,18/18,11:12 PM,04/05/2026
S113,UDMA - 3,KUNHAMPU P P S/O RAMAN,Independent,186,5,191,0.11,18/18,11:12 PM,04/05/2026
S113,UDMA - 3,KUNHIRAMAN,Independent,138,0,138,0.08,18/18,11:12 PM,04/05/2026
S113,UDMA - 3,NASEER,Independent,110,1,111,0.06,18/18,11:12 PM,04/05/2026
S113,UDMA - 3,NOTA,None of the Above,488,16,504,0.28,18/18,11:12 PM,04/05/2026
S114,KANHANGAD - 4,ADV. GOVINDAN PALLIKAPPIL,Communist Party of India,78463,1457,79920,45.47,19/19,11:09 PM,04/05/2026
S114,KANHANGAD - 4,M BALRAJ,Bharatiya Janata Party,26608,455,27063,15.4,19/19,11:09 PM,04/05/2026
S114,KANHANGAD - 4,VIJAYAKUMAR B,Bahujan Samaj Party,3086,46,3132,1.78,19/19,11:09 PM,04/05/2026
S114,KANHANGAD - 4,SHAIJI OTTAPALLI,Kerala Congress,63804,800,64604,36.75,19/19,11:09 PM,04/05/2026
S114,KANHANGAD - 4,NOTA,None of the Above,1039,19,1058,0.6,19/19,11:09 PM,04/05/2026
S115,TRIKARIPUR - 5,DR. V P P MUSTAFA,Communist Party of India (Marxist),76697,1981,78678,46.04,17/17,11:12 PM,04/05/2026
S115,TRIKARIPUR - 5,SANDEEP VARIER,Indian National Congress,81700,1409,83109,48.63,17/17,11:12 PM,04/05/2026
S115,TRIKARIPUR - 5,RAVI KULANGARA,Twenty 20 Party,7684,153,7837,4.59,17/17,11:12 PM,04/05/2026
S115,TRIKARIPUR - 5,MUSTHAFA P P S/O NAFEESA P P,Independent,163,6,169,0.1,17/17,11:12 PM,04/05/2026
S115,TRIKARIPUR - 5,MUSTHAFA V P S/O MUHAMMED,Independent,142,1,143,0.08,17/17,11:12 PM,04/05/2026
S115,TRIKARIPUR - 5,SANDEEP ELATT,Independent,250,8,258,0.15,17/17,11:12 PM,04/05/2026
S115,TRIKARIPUR - 5,NOTA,None of the Above,681,29,710,0.42,17/17,11:12 PM,04/05/2026
S116,PAYYANNUR - 6,A. P. GANGADHARAN,Bharatiya Janata Party,8204,228,8432,5.41,14/14,11:09 PM,04/05/2026
S116,PAYYANNUR - 6,T. I. MADHUSOODANAN,Communist Party of India (Marxist),67077,2076,69153,44.34,14/14,11:09 PM,04/05/2026
S116,PAYYANNUR - 6,V. KUNHIKRISHNAN,Independent,75074,1566,76640,49.14,14/14,11:09 PM,04/05/2026
S116,PAYYANNUR - 6,SANDEEP V. K.,Independent,542,10,552,0.35,14/14,11:09 PM,04/05/2026
S116,PAYYANNUR - 6,NOTA,None of the Above,1152,41,1193,0.76,14/14,11:09 PM,04/05/2026
S117,KALLIASSERI - 7,ADV. RAJEEVAN KAPPACHERI,Indian National Congress,62123,872,62995,39.4,14/14,11:09 PM,04/05/2026
S117,KALLIASSERI - 7,M.VIJIN,Communist Party of India (Marxist),79573,1855,81428,50.93,14/14,11:09 PM,04/05/2026
S117,KALLIASSERI - 7,SANIL.A.V,Bharatiya Janata Party,12905,205,13110,8.2,14/14,11:09 PM,04/05/2026
S117,KALLIASSERI - 7,K.K. ABDUL JABBAR,Social Democratic Party Of India,1273,8,1281,0.8,14/14,11:09 PM,04/05/2026
S117,KALLIASSERI - 7,RAJEEVAN KANNOTH S/O KAMMARAN,Independent,155,5,160,0.1,14/14,11:09 PM,04/05/2026
S117,KALLIASSERI - 7,NOTA,None of the Above,867,26,893,0.56,14/14,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,ANAPPALLI GOPALAN,Aam Aadmi Party,1052,31,1083,0.56,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,P K SHYAMALA TEACHER,Communist Party of India (Marxist),76690,2098,78788,41,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,N HARIDAS,Bharatiya Janata Party,15774,315,16089,8.37,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,ABDUL SALAM K P,Independent,358,8,366,0.19,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,KOYYAM JANARDHANAN,Independent,1164,38,1202,0.63,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,KHAMARUDDEEN C V,Independent,276,7,283,0.15,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,T K GOVINDAN MASTER S/O KUNHIKKANNAN NAMBIAR,Independent,89920,1419,91339,47.53,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,T K GOVINDAN S/O KUNHIRAMAN,Independent,729,6,735,0.38,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,C BALAKRISHNAN YADAV,Independent,194,4,198,0.1,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,SHYAMALA P D/O GOVINDAN P,Independent,289,5,294,0.15,20/20,11:09 PM,04/05/2026
S118,TALIPARAMBA - 8,NOTA,None of the Above,1709,89,1798,0.94,20/20,11:09 PM,04/05/2026
S119,IRIKKUR - 9,P V JOSEPH PARIKKAPPALLIL,Aam Aadmi Party,1129,22,1151,0.76,17/17,11:09 PM,04/05/2026
S119,IRIKKUR - 9,ADV. MATHEW KUNNAPPALLY,Kerala Congress (M),47255,1214,48469,31.96,17/17,11:09 PM,04/05/2026
S119,IRIKKUR - 9,ADV. SAJEEV JOSEPH,Indian National Congress,88870,2025,90895,59.94,17/17,11:09 PM,04/05/2026
S119,IRIKKUR - 9,M J MATHEW,Social Democratic Party Of India,398,19,417,0.27,17/17,11:09 PM,04/05/2026
S119,IRIKKUR - 9,SREENATH PADMANABHAN,Twenty 20 Party,9445,172,9617,6.34,17/17,11:09 PM,04/05/2026
S119,IRIKKUR - 9,AMAL K T,Independent,286,13,299,0.2,17/17,11:09 PM,04/05/2026
S119,IRIKKUR - 9,NOTA,None of the Above,765,32,797,0.53,17/17,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,ADV. KAREEM CHELERI,Indian Union Muslim League,63855,747,64602,43.53,15/15,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,K. K. VINODKUMAR,Bharatiya Janata Party,17221,255,17476,11.78,15/15,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,K. V. SUMESH,Communist Party of India (Marxist),63857,1094,64951,43.76,15/15,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,RESHMI RAVI,Socialist Unity Centre Of India (COMMUNIST),218,9,227,0.15,15/15,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,KAREEM CHANDROTH,Independent,112,3,115,0.08,15/15,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,ABDUL KAREEM. V. V,Independent,230,5,235,0.16,15/15,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,SUMESH KUMAR. K,Independent,103,3,106,0.07,15/15,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,SUMESH. T. P S/O GOVINDAN,Independent,124,0,124,0.08,15/15,11:09 PM,04/05/2026
S1110,AZHIKODE - 10,NOTA,None of the Above,567,9,576,0.39,15/15,11:09 PM,04/05/2026
S1111,KANNUR - 11,ADV.T.O. MOHANAN,Indian National Congress,69454,1166,70620,50.26,14/14,11:12 PM,04/05/2026
S1111,KANNUR - 11,C. RAGHUNATH,Bharatiya Janata Party,15907,237,16144,11.49,14/14,11:12 PM,04/05/2026
S1111,KANNUR - 11,M.K. SHAHAZAD,Socialist Unity Centre Of India (COMMUNIST),224,5,229,0.16,14/14,11:12 PM,04/05/2026
S1111,KANNUR - 11,RAMACHANDRAN KADANNAPPALLI,Congress (Secular),51113,956,52069,37.05,14/14,11:12 PM,04/05/2026
S1111,KANNUR - 11,SURESH KUMAR,Bharatheeya Jawan Kisan Party,252,3,255,0.18,14/14,11:12 PM,04/05/2026
S1111,KANNUR - 11,T.K. MOHANAN,Independent,278,3,281,0.2,14/14,11:12 PM,04/05/2026
S1111,KANNUR - 11,RAMACHANDRAN KUNIYIL,Independent,214,2,216,0.15,14/14,11:12 PM,04/05/2026
S1111,KANNUR - 11,NOTA,None of the Above,690,15,705,0.5,14/14,11:12 PM,04/05/2026
S1112,DHARMADAM - 12,PINARAYI VIJAYAN,Communist Party of India (Marxist),83418,2196,85614,49.87,15/15,11:12 PM,04/05/2026
S1112,DHARMADAM - 12,K. RANJITH,Bharatiya Janata Party,18213,342,18555,10.81,15/15,11:12 PM,04/05/2026
S1112,DHARMADAM - 12,ADV. V.P ABDUL RASHEED,Indian National Congress,65074,1293,66367,38.66,15/15,11:12 PM,04/05/2026
S1112,DHARMADAM - 12,VADI HAREENDRAN,Independent,189,4,193,0.11,15/15,11:12 PM,04/05/2026
S1112,DHARMADAM - 12,VIJAYAN A.M S/O KUNHIRAMAN,Independent,116,1,117,0.07,15/15,11:12 PM,04/05/2026
S1112,DHARMADAM - 12,NOTA,None of the Above,764,49,813,0.47,15/15,11:12 PM,04/05/2026
S1113,THALASSERY - 13,KARAYI RAJAN,Communist Party of India (Marxist),68401,1342,69743,48.34,15/15,11:12 PM,04/05/2026
S1113,THALASSERY - 13,O NIDHEESH,Bharatiya Janata Party,22448,306,22754,15.77,15/15,11:12 PM,04/05/2026
S1113,THALASSERY - 13,SAJU K P,Indian National Congress,48463,757,49220,34.11,15/15,11:12 PM,04/05/2026
S1113,THALASSERY - 13,A C JALALUDDHEEN,Social Democratic Party Of India,1431,13,1444,1,15/15,11:12 PM,04/05/2026
S1113,THALASSERY - 13,RAJAN V P,Independent,69,0,69,0.05,15/15,11:12 PM,04/05/2026
S1113,THALASSERY - 13,RAJAN O P,Independent,87,2,89,0.06,15/15,11:12 PM,04/05/2026
S1113,THALASSERY - 13,SAJU V P,Independent,239,1,240,0.17,15/15,11:12 PM,04/05/2026
S1113,THALASSERY - 13,NOTA,None of the Above,708,20,728,0.5,15/15,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,JAYANTHI RAJAN,Indian Union Muslim League,68209,953,69162,42.12,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,ADV. SHIJILAL,Bharatiya Janata Party,21870,325,22195,13.52,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,RAFEED A P,Aam Aadmi Party,249,5,254,0.15,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,P K PRAVEEN,Rashtriya Janata Dal,69023,1425,70448,42.9,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,JAYANTHI,Independent,655,16,671,0.41,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,PRAVEEN KUMAR,Independent,554,6,560,0.34,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,MOHANAN K P,Independent,167,2,169,0.1,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,SHYLAJA,Independent,129,4,133,0.08,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,SHAHUL HAMEED,Independent,114,1,115,0.07,17/17,11:12 PM,04/05/2026
S1114,KUTHUPARAMBA - 14,NOTA,None of the Above,478,17,495,0.3,17/17,11:12 PM,04/05/2026
S1115,MATTANNUR - 15,CHANDRAN THILLANKERI,Indian National Congress,65867,1421,67288,39.61,15/15,11:09 PM,04/05/2026
S1115,MATTANNUR - 15,BIJU ELAKKUZHI,Bharatiya Janata Party,17463,352,17815,10.49,15/15,11:09 PM,04/05/2026
S1115,MATTANNUR - 15,V K SANOJ,Communist Party of India (Marxist),79314,2142,81456,47.96,15/15,11:09 PM,04/05/2026
S1115,MATTANNUR - 15,BASHEER PUNNAD,Social Democratic Party Of India,2161,10,2171,1.28,15/15,11:09 PM,04/05/2026
S1115,MATTANNUR - 15,CHANDRAN THENGALATH,Independent,144,3,147,0.09,15/15,11:09 PM,04/05/2026
S1115,MATTANNUR - 15,SANOJ S/O KUNHIRAMAN K,Independent,209,1,210,0.12,15/15,11:09 PM,04/05/2026
S1115,MATTANNUR - 15,NOTA,None of the Above,744,27,771,0.45,15/15,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,K K SHAILAJA TEACHER,Communist Party of India (Marxist),60437,1250,61687,41.89,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,ADV. SUNNY JOSEPH,Indian National Congress,74634,1506,76140,51.71,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,ADV. HENSTION GEORGE,Aam Aadmi Party,423,8,431,0.29,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,ARUVIKKAL KRISHNAN,Communist Party of India (Marxist-Leninist) (Liberation),82,4,86,0.06,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,PAILY VATHIYATTU,Bharath Dharma Jana Sena,7863,157,8020,5.45,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,NARAYANA KUMAR,Independent,44,1,45,0.03,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,VENUGOPALAN. C,Independent,25,1,26,0.02,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,SAILAJA. A. V,Independent,101,8,109,0.07,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,C. SHYLAJA,Independent,67,1,68,0.05,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,SUNNY,Independent,55,11,66,0.04,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,SUNNY JOSEPH MUTHUKULATHEL,Independent,178,13,191,0.13,16/16,11:09 PM,04/05/2026
S1116,PERAVOOR - 16,NOTA,None of the Above,363,12,375,0.25,16/16,11:09 PM,04/05/2026
S1117,MANANTHAVADY - 17,USHA VIJAYAN,Indian National Congress,76089,1336,77425,46.92,17/17,11:09 PM,04/05/2026
S1117,MANANTHAVADY - 17,O R KELU,Communist Party of India (Marxist),65724,1158,66882,40.53,17/17,11:09 PM,04/05/2026
S1117,MANANTHAVADY - 17,P SHYAMRAJ,Bharatiya Janata Party,19385,296,19681,11.93,17/17,11:09 PM,04/05/2026
S1117,MANANTHAVADY - 17,NOTA,None of the Above,1001,17,1018,0.62,17/17,11:09 PM,04/05/2026
S1118,SULTHANBATHERY - 18,KAVITHA A S,Bharatiya Janata Party,30873,435,31308,17.69,18/18,11:12 PM,04/05/2026
S1118,SULTHANBATHERY - 18,PRAKRITHI N V,Aam Aadmi Party,1752,29,1781,1.01,18/18,11:12 PM,04/05/2026
S1118,SULTHANBATHERY - 18,I C BALAKRISHNAN,Indian National Congress,77573,1363,78936,44.61,18/18,11:12 PM,04/05/2026
S1118,SULTHANBATHERY - 18,BENADICT,Bahujan Samaj Party,433,14,447,0.25,18/18,11:12 PM,04/05/2026
S1118,SULTHANBATHERY - 18,M S VISWANATHAN,Communist Party of India (Marxist),61256,1083,62339,35.23,18/18,11:12 PM,04/05/2026
S1118,SULTHANBATHERY - 18,V.A RAMESAN,Socialist Unity Centre Of India (COMMUNIST),269,6,275,0.16,18/18,11:12 PM,04/05/2026
S1118,SULTHANBATHERY - 18,BALAKRISHNAN EDAKKAL,Independent,209,3,212,0.12,18/18,11:12 PM,04/05/2026
S1118,SULTHANBATHERY - 18,RAJESH R M,Independent,192,6,198,0.11,18/18,11:12 PM,04/05/2026
S1118,SULTHANBATHERY - 18,NOTA,None of the Above,1418,24,1442,0.81,18/18,11:12 PM,04/05/2026
S1119,KALPETTA - 19,PRASANTH MALAVAYAL,Bharatiya Janata Party,18912,263,19175,11.06,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,ADV. T SIDDIQUE,Indian National Congress,96020,1359,97379,56.15,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,RAFEEK C A,Aam Aadmi Party,848,19,867,0.5,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,P K ANIL KUMAR,Rashtriya Janata Dal,51683,665,52348,30.18,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,K V PRAKASH,Communist Party of India (Marxist-Leninist) Red Star,317,8,325,0.19,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,N HAMZA,Social Democratic Party Of India,794,7,801,0.46,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,ANILKUMAR S/O UNNI NAIR,Independent,338,9,347,0.2,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,T K UMMER,Independent,251,5,256,0.15,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,RADHAKRISHNAN M,Independent,438,8,446,0.26,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,SIDHEEQUE S/O KUNJAMMAD,Independent,357,3,360,0.21,17/17,11:09 PM,04/05/2026
S1119,KALPETTA - 19,NOTA,None of the Above,1088,49,1137,0.66,17/17,11:09 PM,04/05/2026
S1120,VADAKARA - 20,ADV. K DILEEP,Bharatiya Janata Party,14101,194,14295,9.98,15/15,11:12 PM,04/05/2026
S1120,VADAKARA - 20,M K BHASKARAN,Rashtriya Janata Dal,54073,1182,55255,38.59,15/15,11:12 PM,04/05/2026
S1120,VADAKARA - 20,K K REMA,Revolutionary Marxist Party of India,68948,1169,70117,48.97,15/15,11:12 PM,04/05/2026
S1120,VADAKARA - 20,SHAMSEER CHOMBALA,Social Democratic Party Of India,2469,8,2477,1.73,15/15,11:12 PM,04/05/2026
S1120,VADAKARA - 20,BHASKARAN K K S/O KELAPPAN,Independent,182,3,185,0.13,15/15,11:12 PM,04/05/2026
S1120,VADAKARA - 20,RAMA T P W/O ASHOKAN P K,Independent,195,5,200,0.14,15/15,11:12 PM,04/05/2026
S1120,VADAKARA - 20,RAMA W/O VIJAYAN,Independent,158,4,162,0.11,15/15,11:12 PM,04/05/2026
S1120,VADAKARA - 20,RAMAKRISHNAN VATTAKANDI,Independent,91,3,94,0.07,15/15,11:12 PM,04/05/2026
S1120,VADAKARA - 20,NOTA,None of the Above,383,11,394,0.28,15/15,11:12 PM,04/05/2026
S1121,KUTTIADI - 21,PARAKKAL ABDULLA,Indian Union Muslim League,86837,1360,88197,49.52,17/17,11:09 PM,04/05/2026
S1121,KUTTIADI - 21,K. P. KUNHAMMEDKUTTY MASTER,Communist Party of India (Marxist),75645,1630,77275,43.39,17/17,11:09 PM,04/05/2026
S1121,KUTTIADI - 21,RAMADAS MANALERI,Bharatiya Janata Party,11810,225,12035,6.76,17/17,11:09 PM,04/05/2026
S1121,KUTTIADI - 21,ABDULLA,Independent,95,0,95,0.05,17/17,11:09 PM,04/05/2026
S1121,KUTTIADI - 21,KUNHAMMADKUTTY,Independent,113,1,114,0.06,17/17,11:09 PM,04/05/2026
S1121,KUTTIADI - 21,NOTA,None of the Above,380,10,390,0.22,17/17,11:09 PM,04/05/2026
S1122,NADAPURAM - 22,K.M. ABHIJITH,Indian National Congress,98258,1505,99763,52.87,19/19,11:09 PM,04/05/2026
S1122,NADAPURAM - 22,ADV.P. VASANTHAM,Communist Party of India,74796,1367,76163,40.36,19/19,11:09 PM,04/05/2026
S1122,NADAPURAM - 22,C.P. VIPIN CHANDRAN,Bharatiya Janata Party,11367,139,11506,6.1,19/19,11:09 PM,04/05/2026
S1122,NADAPURAM - 22,K.M. ABHIJITH S/O ASHOKAN,Independent,205,2,207,0.11,19/19,11:09 PM,04/05/2026
S1122,NADAPURAM - 22,ABHIJITH S/O BALAN,Independent,217,1,218,0.12,19/19,11:09 PM,04/05/2026
S1122,NADAPURAM - 22,PADMAKUMAR,Independent,267,2,269,0.14,19/19,11:09 PM,04/05/2026
S1122,NADAPURAM - 22,VASANTHA,Independent,313,1,314,0.17,19/19,11:09 PM,04/05/2026
S1122,NADAPURAM - 22,NOTA,None of the Above,263,9,272,0.14,19/19,11:09 PM,04/05/2026
S1123,QUILANDY - 23,K. DASAN,Communist Party of India (Marxist),66409,1434,67843,39.35,18/18,11:12 PM,04/05/2026
S1123,QUILANDY - 23,PRAFUL KRISHNAN,Bharatiya Janata Party,23179,366,23545,13.66,18/18,11:12 PM,04/05/2026
S1123,QUILANDY - 23,ADV. K. PRAVEEN KUMAR,Indian National Congress,78739,1174,79913,46.35,18/18,11:12 PM,04/05/2026
S1123,QUILANDY - 23,MUSTHAFA P K (PADINJARE KUNIYOTH),Aam Aadmi Party,188,5,193,0.11,18/18,11:12 PM,04/05/2026
S1123,QUILANDY - 23,DASAN S/O KUNHIKELU,Independent,97,2,99,0.06,18/18,11:12 PM,04/05/2026
S1123,QUILANDY - 23,ADV. PRAVEEN,Independent,196,2,198,0.11,18/18,11:12 PM,04/05/2026
S1123,QUILANDY - 23,PRAVEEN KUMAR S/O SANKARAN NAIR,Independent,189,3,192,0.11,18/18,11:12 PM,04/05/2026
S1123,QUILANDY - 23,NOTA,None of the Above,432,10,442,0.26,18/18,11:12 PM,04/05/2026
S1124,PERAMBRA - 24,ADV. FATHIMA THAHILIYA,Indian Union Muslim League,79735,1694,81429,47.32,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,M. MOHANAN MASTER,Bharatiya Janata Party,12746,296,13042,7.58,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,RENJITH MALAYIL,Aam Aadmi Party,120,4,124,0.07,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,T. P. RAMAKRISHNAN,Communist Party of India (Marxist),74279,2063,76342,44.36,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,AKHIL KUMAR .A.M,Communist Party of India (Marxist-Leninist) Red Star,147,4,151,0.09,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,FATHIMA NASRI. V,Independent,140,0,140,0.08,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,FATHIMATHU RUKSANA. P,Independent,147,4,151,0.09,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,P.K. BIJU MASTER,Independent,63,3,66,0.04,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,K. RAMAKRISHNAN S/O GOVINDAN NAIR,Independent,61,1,62,0.04,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,T.M. RAMAKRISHNAN S/O NARAYANAN NAIR,Independent,67,5,72,0.04,19/19,11:09 PM,04/05/2026
S1124,PERAMBRA - 24,NOTA,None of the Above,479,28,507,0.29,19/19,11:09 PM,04/05/2026
S1125,BALUSSERI - 25,ADV. K.M. SACHINDEV,Communist Party of India (Marxist),76030,1794,77824,40.68,19/19,11:09 PM,04/05/2026
S1125,BALUSSERI - 25,C.P. SATHEESH,Bharatiya Janata Party,17237,432,17669,9.24,19/19,11:09 PM,04/05/2026
S1125,BALUSSERI - 25,V.T. SOORAJ,Indian National Congress,92884,1920,94804,49.55,19/19,11:09 PM,04/05/2026
S1125,BALUSSERI - 25,ABHIJITH,Independent,226,4,230,0.12,19/19,11:09 PM,04/05/2026
S1125,BALUSSERI - 25,SOORAJ K S/O ASOKAN,Independent,270,2,272,0.14,19/19,11:09 PM,04/05/2026
S1125,BALUSSERI - 25,NOTA,None of the Above,493,23,516,0.27,19/19,11:09 PM,04/05/2026
S1126,ELATHUR - 26,ABDUL BASITH ATHOLI,Aam Aadmi Party,342,6,348,0.2,15/15,11:09 PM,04/05/2026
S1126,ELATHUR - 26,DEVADAS T,Bharatiya Janata Party,30897,613,31510,17.73,15/15,11:09 PM,04/05/2026
S1126,ELATHUR - 26,ADV.VIDYA BALAKRISHNAN,Indian National Congress,76013,1649,77662,43.69,15/15,11:09 PM,04/05/2026
S1126,ELATHUR - 26,A.K.SASEENDRAN S/O KUNJAMBU,Nationalist Congress Party - Sharadchandra Pawar,64122,1378,65500,36.85,15/15,11:09 PM,04/05/2026
S1126,ELATHUR - 26,P.K.SASEENDRAN S/O SABUDASAN,Nationalist Congress Party,677,15,692,0.39,15/15,11:09 PM,04/05/2026
S1126,ELATHUR - 26,P.M.SREEKUMAR,Socialist Unity Centre Of India (COMMUNIST),470,11,481,0.27,15/15,11:09 PM,04/05/2026
S1126,ELATHUR - 26,V.K.SASEENDRAN S/O RAMAKRISHNAN,Independent,709,17,726,0.41,15/15,11:09 PM,04/05/2026
S1126,ELATHUR - 26,ADV.SUMIN.S.NEDUNGADAN,Independent,115,2,117,0.07,15/15,11:09 PM,04/05/2026
S1126,ELATHUR - 26,NOTA,None of the Above,704,25,729,0.41,15/15,11:09 PM,04/05/2026
S1127,KOZHIKODE NORTH - 27,DR. ALPHONSA MATHEW TEACHER,Aam Aadmi Party,528,14,542,0.38,17/17,11:09 PM,04/05/2026
S1127,KOZHIKODE NORTH - 27,ADV.K JAYANTH,Indian National Congress,49706,930,50636,35.78,17/17,11:09 PM,04/05/2026
S1127,KOZHIKODE NORTH - 27,NAVYA HARIDAS,Bharatiya Janata Party,39245,654,39899,28.19,17/17,11:09 PM,04/05/2026
S1127,KOZHIKODE NORTH - 27,THOTTATHIL RAVINDRAN,Communist Party of India (Marxist),48210,943,49153,34.73,17/17,11:09 PM,04/05/2026
S1127,KOZHIKODE NORTH - 27,A SAJEENA,Socialist Unity Centre Of India (COMMUNIST),120,4,124,0.09,17/17,11:09 PM,04/05/2026
